총 101
인하대학교 | 인천 | 인천 | 자연 | 기계공학과 | 학생부종합 | 고른기회전형 | 없음 | None | 3.14 | 3.8 | 최종등록자평균
인하대학교 | 인천 | 인천 | 자연 | 항공우주공학과 | 학생부종합 | 고른기회전형 | 없음 | None | 3.3 | 4.92 | 최종등록자평균
인하대학교 | 인천 | 인천 | 자연 | 조선해양공학과 | 학생부종합 | 고른기회전형 | 없음 | None | 3.69 | 4.5 | 최종등록자평균
인하대학교 | 인천 | 인천 | 자연 | 산업경영공학과 | 학생부종합 | 고른기회전형 | 없음 | None | 4.32 | 4.57 | 최종등록자평균
인하대학교 | 인천 | 인천 | 자연 | 화학공학과 | 학생부종합 | 고른기회전형 | 없음 | None | 2.83 | 2.74 | 최종등록자평균
인하대학교 | 인천 | 인천 | 자연 | 고분자공학과 | 학생부종합 | 고른기회전형 | 없음 | None | 2.68 | 3.14 | 최종등록자평균
인하대학교 | 인천 | 인천 | 자연 | 신소재공학과 | 학생부종합 | 고른기회전형 | 없음 | None | 2.89 | 2.87 | 최종등록자평균
인하대학교 | 인천 | 인천 | 자연 | 사회인프라공학과 | 학생부종합 | 고른기회전형 | 없음 | None | 3.3 | 3.88 | 최종등록자평균
인하대학교 | 인천 | 인천 | 자연 | 환경공학과 | 학생부종합 | 고른기회전형 | 없음 | None | 3.47 | 2.86 | 최종등록자평균
인하대학교 | 인천 | 인천 | 자연 | 공간정보공학과 | 학생부종합 | 고른기회전형 | 없음 | None | 4.14 | 4.15 | 최종등록자평균
인하대학교 | 인천 | 인천 | 자연 | 건축학부 | 학생부종합 | 고른기회전형 | 없음 | None | 4.25 | 3.73 | 최종등록자평균
인하대학교 | 인천 | 인천 | 자연 | 에너지자원공학과 | 학생부종합 | 고른기회전형 | 없음 | None | 3.9 | 3.99 | 최종등록자평균
인하대학교 | 인천 | 인천 | 자연 | 전기전자공학부 | 학생부종합 | 고른기회전형 | 없음 | None | 3.01 | 2.83 | 최종등록자평균
인하대학교 | 인천 | 인천 | 자연 | 수학과 | 학생부종합 | 고른기회전형 | 없음 | None | 3.56 | 4.16 | 최종등록자평균
인하대학교 | 인천 | 인천 | 자연 | 통계학과 | 학생부종합 | 고른기회전형 | 없음 | None | 3.64 | 3.68 | 최종등록자평균
인하대학교 | 인천 | 인천 | 자연 | 물리학과 | 학생부종합 | 고른기회전형 | 없음 | None | 4.23 | 6.99 | 최종등록자평균
인하대학교 | 인천 | 인천 | 자연 | 화학과 | 학생부종합 | 고른기회전형 | 없음 | None | 3.55 | 2.94 | 최종등록자평균
인하대학교 | 인천 | 인천 | 자연 | 해양과학과 | 학생부종합 | 고른기회전형 | 없음 | None | 3.89 | 5.23 | 최종등록자평균
인하대학교 | 인천 | 인천 | 자연 | 식품영양학과 | 학생부종합 | 고른기회전형 | 없음 | None | 3.15 | 3.63 | 최종등록자평균
인하대학교 | 인천 | 인천 | 인문 | 경영학과 | 학생부종합 | 고른기회전형 | 없음 | None | 2.57 | 3.29 | 최종등록자평균
인하대학교 | 인천 | 인천 | 인문 | 파이낸스경영학과 | 학생부종합 | 고른기회전형 | 없음 | None | 4.17 | 4.05 | 최종등록자평균
인하대학교 | 인천 | 인천 | 인문 | 아태물류학부 | 학생부종합 | 고른기회전형 | 없음 | None | 3.48 | 4.65 | 최종등록자평균
인하대학교 | 인천 | 인천 | 인문 | 국제통상학과 | 학생부종합 | 고른기회전형 | 없음 | None | 3.54 | 3.91 | 최종등록자평균
인하대학교 | 인천 | 인천 | 인문 | 국어교육과 | 학생부종합 | 고른기회전형 | 없음 | None | 3.33 | 2.84 | 최종등록자평균
인하대학교 | 인천 | 인천 | 인문 | 영어교육과 | 학생부종합 | 고른기회전형 | 없음 | None | 3.83 | 5.01 | 최종등록자평균
