경희대학교             344행
가천대학교             276행
단국대학교             264행
인하대학교             254행
인천대학교             240행
동국대학교             227행
명지대학교             226행
한국외국어대학교          221행
국민대학교             211행
고려대학교             196행
한경대학교             188행
경기대학교             186행
숭실대학교             186행
중앙대학교             181행
세종대학교             180행
성신여자대학교           179행
서울여자대학교           169행
숙명여자대학교           163행
가톨릭대학교            160행
대진대학교             158행
서울과학기술대학교         155행
광운대학교             152행
서울대학교             143행
협성대학교             143행
서울시립대학교           123행
아주대학교             121행
수원대학교             120행
연세대학교             120행
안양대학교             109행
한양대학교             102행
용인대학교             101행
이화여자대학교           100행
한국공학대학교            95행
성균관대학교             91행
상명대학교              89행
성결대학교              88행
건국대학교              87행
신한대학교              86행
한신대학교              85행
강남대학교              82행
서강대학교              76행
홍익대학교              76행
삼육대학교              65행
을지대학교              61행
한양대학교(ERICA)       61행
중부대학교              50행
평택대학교              44행
한성대학교              44행
한국교통대학교            42행
서경대학교              35행
덕성여자대학교            33행
성공회대학교             31행
한국항공대학교            30행
한세대학교              25행
동덕여자대학교            24행
경동대학교              20행
강서대학교              15행
경인교육대학교             6행
서울교육대학교             6행
차의과학대학교             6행
