[기준 표기 전체 16종]
  최종등록자70%컷                     3685 
  최종등록자평균                       2702 
  최종합격자평균                        289 
  최종등록자 70%컷                     111 ← 공백/개행
  최종합격자70%컷                       88 
  최종합격자평균\n(10과목)                 49 ← 확인필요
  최종등록자70컷                        48 ← % 누락
  최종증록자70%컷                       47 ← 오타(등록)
  최종등록자90%컷                       37 
  최종동륵자평균                         32 ← 오타(등록)
  최종등록자50%컷                       23 
  최종등록자80%컷                       19 
  최초합격자평균                          8 ← 확인필요
  1단계합격자평균                         7 ← 확인필요
  최종등록80%컷                         4 ← 확인필요
  최종등록자컷                           2 ← 확인필요
