[행 패턴 매칭 추정]
  수도권 9,318행 / 비수도권 17,416행
  data.json 실제 7,151행 (수도권만)

[비수도권 대학 상위 30]
  경북대학교                 689행
  부산대학교                 600행
  충북대학교                 571행
  충남대학교                 562행
  경상대학교                 561행
  강원대학교                 539행
  전남대학교                 518행
  계명대학교                 502행
  공주대학교                 470행
  제주대학교                 448행
  부경대학교                 438행
  경성대학교                 374행
  조선대학교                 369행
  영남대학교                 368행
  동아대학교                 351행
  대구대학교                 326행
  동의대학교                 309행
  순천향대학교                274행
  전주대학교                 266행
  대구가톨릭대학교              255행
  전북대학교                 247행
  단국대학교                 244행
  한남대학교                 244행
  한국교통대학교               242행
  원광대학교                 231행
  강릉원주대학교               227행
  청주대학교                 227행
  경남대학교                 223행
  한국해양대학교               222행
  창원대학교                 217행

  비수도권 고유 대학 수: 100개
